Date : 2022-04-24 16:20:24
Directory : /Users/AmitBoost/Desktop/Programming/reminderApp/frontend
Total : 240 files,  59899 codes, 19384 comments, 18302 blanks, all 97585 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        177 |     34,109 |     19,384 |     18,300 |     71,793 |
| JSON       |         63 |     25,790 |          0 |          2 |     25,792 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        240 |     59,899 |     19,384 |     18,302 |     97,585 |
| .next                                                                                                                                 |        199 |     32,510 |     19,193 |     18,122 |     69,825 |
| .next/server                                                                                                                          |         16 |        967 |        580 |        454 |      2,001 |
| .next/server/pages                                                                                                                    |          7 |        594 |        367 |        324 |      1,285 |
| .next/server/pages/next                                                                                                               |          1 |         23 |         15 |          9 |         47 |
| .next/server/pages/next/dist                                                                                                          |          1 |         23 |         15 |          9 |         47 |
| .next/server/pages/next/dist/pages                                                                                                    |          1 |         23 |         15 |          9 |         47 |
| .next/server/pages/order                                                                                                              |          1 |         68 |         42 |         36 |        146 |
| .next/static                                                                                                                          |        181 |     31,496 |     18,613 |     17,668 |     67,777 |
| .next/static/chunks                                                                                                                   |         12 |     24,838 |     14,107 |     14,058 |     53,003 |
| .next/static/chunks/pages                                                                                                             |          6 |     22,941 |     13,507 |     13,633 |     50,081 |
| .next/static/chunks/pages/next                                                                                                        |          1 |        122 |         87 |         79 |        288 |
| .next/static/chunks/pages/next/dist                                                                                                   |          1 |        122 |         87 |         79 |        288 |
| .next/static/chunks/pages/next/dist/pages                                                                                             |          1 |        122 |         87 |         79 |        288 |
| .next/static/chunks/pages/order                                                                                                       |          1 |      5,753 |      3,393 |      3,428 |     12,574 |
| .next/static/development                                                                                                              |          2 |          2 |          0 |          0 |          2 |
| .next/static/webpack                                                                                                                  |        167 |      6,656 |      4,506 |      3,610 |     14,772 |
| .next/static/webpack/pages                                                                                                            |         51 |      6,067 |      3,924 |      3,610 |     13,601 |
| .next/static/webpack/pages/order                                                                                                      |         50 |      6,060 |      3,913 |      3,606 |     13,579 |
